"ANO_ELEICAO","NUM_TURNO","COD_MUN_IBGE","NOME_MACRO","CODIGO_CARGO","DESCRICAO_CARGO","NUMERO_PARTIDO","SIGLA_PARTIDO","QTDE_VOTOS"
"2004","1","1100296","Norte","11","PREFEITO","12","PDT","1076"
"2004","1","1100304","Norte","11","PREFEITO","12","PDT","5836"
"2004","1","1100403","Norte","11","PREFEITO","12","PDT","2941"
"2004","1","1100700","Norte","11","PREFEITO","12","PDT","206"
"2004","1","1100809","Norte","11","PREFEITO","12","PDT","3336"
"2004","1","1100908","Norte","11","PREFEITO","12","PDT","340"
"2004","1","1101500","Norte","11","PREFEITO","12","PDT","631"
"2004","1","1200252","Norte","11","PREFEITO","12","PDT","1768"
"2004","1","1200807","Norte","11","PREFEITO","12","PDT","165"
"2004","1","1300508","Norte","11","PREFEITO","12","PDT","245"
"2004","1","1300706","Norte","11","PREFEITO","12","PDT","107"
"2004","1","1301001","Norte","11","PREFEITO","12","PDT","4791"
"2004","1","1301159","Norte","11","PREFEITO","12","PDT","4314"
"2004","1","1301506","Norte","11","PREFEITO","12","PDT","3051"
"2004","1","1301951","Norte","11","PREFEITO","12","PDT","649"
"2004","1","1303569","Norte","11","PREFEITO","12","PDT","2644"
"2004","1","1304401","Norte","11","PREFEITO","12","PDT","81"
"2004","1","1500404","Norte","11","PREFEITO","12","PDT","267"
"2004","1","1500503","Norte","11","PREFEITO","12","PDT","445"
"2004","1","1500909","Norte","11","PREFEITO","12","PDT","9321"
"2004","1","1500958","Norte","11","PREFEITO","12","PDT","134"
"2004","1","1501402","Norte","11","PREFEITO","12","PDT","32608"
"2004","1","1501501","Norte","11","PREFEITO","12","PDT","2019"
"2004","1","1502301","Norte","11","PREFEITO","12","PDT","1664"
"2004","1","1502608","Norte","11","PREFEITO","12","PDT","946"
"2004","1","1502764","Norte","11","PREFEITO","12","PDT","1919"
"2004","1","1502954","Norte","11","PREFEITO","12","PDT","5106"
"2004","1","1503077","Norte","11","PREFEITO","12","PDT","4576"
"2004","1","1503507","Norte","11","PREFEITO","12","PDT","288"
"2004","1","1504406","Norte","11","PREFEITO","12","PDT","1069"
"2004","1","1504802","Norte","11","PREFEITO","12","PDT","303"
"2004","1","1504950","Norte","11","PREFEITO","12","PDT","127"
"2004","1","1505551","Norte","11","PREFEITO","12","PDT","2190"
"2004","1","1506005","Norte","11","PREFEITO","12","PDT","118"
"2004","1","1506112","Norte","11","PREFEITO","12","PDT","3479"
"2004","1","1506500","Norte","11","PREFEITO","12","PDT","2358"
"2004","1","1507458","Norte","11","PREFEITO","12","PDT","2838"
"2004","1","1507508","Norte","11","PREFEITO","12","PDT","3619"
"2004","1","1507607","Norte","11","PREFEITO","12","PDT","3206"
"2004","1","1507706","Norte","11","PREFEITO","12","PDT","376"
"2004","1","1507953","Norte","11","PREFEITO","12","PDT","4522"
"2004","1","1508209","Norte","11","PREFEITO","12","PDT","3356"
"2004","1","1600303","Norte","11","PREFEITO","12","PDT","39886"
"2004","1","1708205","Norte","11","PREFEITO","12","PDT","164"
"2004","1","1720978","Norte","11","PREFEITO","12","PDT","1073"
"2004","1","2100204","Nordeste","11","PREFEITO","12","PDT","2638"
"2004","1","2101103","Nordeste","11","PREFEITO","12","PDT","185"
"2004","1","2101251","Nordeste","11","PREFEITO","12","PDT","2308"
"2004","1","2101707","Nordeste","11","PREFEITO","12","PDT","1294"
"2004","1","2102077","Nordeste","11","PREFEITO","12","PDT","20"
"2004","1","2102150","Nordeste","11","PREFEITO","12","PDT","2429"
"2004","1","2102309","Nordeste","11","PREFEITO","12","PDT","6096"
"2004","1","2102374","Nordeste","11","PREFEITO","12","PDT","1836"
"2004","1","2102408","Nordeste","11","PREFEITO","12","PDT","2552"
"2004","1","2102556","Nordeste","11","PREFEITO","12","PDT","2025"
"2004","1","2103208","Nordeste","11","PREFEITO","12","PDT","595"
"2004","1","2103901","Nordeste","11","PREFEITO","12","PDT","754"
"2004","1","2104057","Nordeste","11","PREFEITO","12","PDT","849"
"2004","1","2104081","Nordeste","11","PREFEITO","12","PDT","2406"
"2004","1","2104628","Nordeste","11","PREFEITO","12","PDT","1908"
"2004","1","2104677","Nordeste","11","PREFEITO","12","PDT","2280"
"2004","1","2105302","Nordeste","11","PREFEITO","12","PDT","1019"
"2004","1","2105401","Nordeste","11","PREFEITO","12","PDT","10416"
"2004","1","2105500","Nordeste","11","PREFEITO","12","PDT","6364"
"2004","1","2106003","Nordeste","11","PREFEITO","12","PDT","3871"
"2004","1","2106326","Nordeste","11","PREFEITO","12","PDT","3022"
"2004","1","2107209","Nordeste","11","PREFEITO","12","PDT","2721"
"2004","1","2107456","Nordeste","11","PREFEITO","12","PDT","1651"
"2004","1","2108256","Nordeste","11","PREFEITO","12","PDT","3682"
"2004","1","2108454","Nordeste","11","PREFEITO","12","PDT","845"
"2004","1","2109007","Nordeste","11","PREFEITO","12","PDT","5970"
"2004","1","2109056","Nordeste","11","PREFEITO","12","PDT","1842"
"2004","1","2109239","Nordeste","11","PREFEITO","12","PDT","102"
"2004","1","2109304","Nordeste","11","PREFEITO","12","PDT","756"
"2004","1","2109403","Nordeste","11","PREFEITO","12","PDT","812"
"2004","1","2110401","Nordeste","11","PREFEITO","12","PDT","1923"
"2004","1","2110500","Nordeste","11","PREFEITO","12","PDT","8474"
"2004","1","2110708","Nordeste","11","PREFEITO","12","PDT","114"
"2004","1","2111003","Nordeste","11","PREFEITO","12","PDT","288"
"2004","1","2111201","Nordeste","11","PREFEITO","12","PDT","18502"
"2004","1","2111250","Nordeste","11","PREFEITO","12","PDT","2049"
"2004","1","2111300","Nordeste","11","PREFEITO","12","PDT","221854"
"2004","1","2111573","Nordeste","11","PREFEITO","12","PDT","1330"
"2004","1","2111706","Nordeste","11","PREFEITO","12","PDT","2816"
"2004","1","2111763","Nordeste","11","PREFEITO","12","PDT","1323"
"2004","1","2112209","Nordeste","11","PREFEITO","12","PDT","31336"
"2004","1","2112407","Nordeste","11","PREFEITO","12","PDT","5923"
"2004","1","2112704","Nordeste","11","PREFEITO","12","PDT","2017"
"2004","1","2200251","Nordeste","11","PREFEITO","12","PDT","2148"
"2004","1","2200608","Nordeste","11","PREFEITO","12","PDT","2247"
"2004","1","2200707","Nordeste","11","PREFEITO","12","PDT","2826"
"2004","1","2201150","Nordeste","11","PREFEITO","12","PDT","1412"
"2004","1","2201200","Nordeste","11","PREFEITO","12","PDT","1489"
"2004","1","2201945","Nordeste","11","PREFEITO","12","PDT","204"
"2004","1","2202109","Nordeste","11","PREFEITO","12","PDT","1273"
"2004","1","2202174","Nordeste","11","PREFEITO","12","PDT","1438"
