cve_entIFE,cve_mpioIFE,seccion,pobtot1994,avgpoverty,pobelegiblep,treatment,numerotreated,numerocontrol,one_random,two_random,early_progresa_p,villages,villages2,pri1994,votos_totales1994,pan1994,prd1994,t2000,t1994,pri2000s,pri1994s,pan2000s,pan1994s,prd2000s,prd1994s,rep_total,rep_PAN,rep_PRD,rep_PRI,_Ivillages_2,_Ivillages_3,_Ivillages_4,_Ivillages_5,_Ivillages_6,_Ivillages_7,_Ivillages_8,_Ivillages_9,_Ivillages_10,_Ivillages_11,_Ivillages_12,_Ivillages_13,_Ivillages_14
21,1,6,15480,4,0.003940568305552006,1,1,NA,1,0,0.932692289352417,2,NA,347,626,83,99,0.057056330144405365,0.08174220472574234,0.029073288664221764,0.04531077668070793,0.012961841188371181,0.010838024318218231,0.012840702198445797,0.01292728167027235,14,6,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0
21,4,56,656,4,1,1,1,NA,1,0,1,1,NA,143,185,34,1,0.6278316974639893,0.6717183589935303,0.5404530763626099,0.5192201137542725,0.06472492218017578,0.12345093488693237,0.012944984249770641,0.003630909835919738,7,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
21,10,90,2239,5,1,1,1,NA,1,0,0.9934425950050354,6,NA,166,486,102,86,0.3737051784992218,0.479318767786026,0.2525896430015564,0.16371792554855347,0.03187251091003418,0.10059776157140732,0.0494023896753788,0.08481772243976593,18,6,3,9,0,0,0,0,1,0,0,0,0,0,0,0,0
21,10,91,1877,5,1,1,1,NA,1,0,1,4,NA,200,377,76,21,0.5393374562263489,0.41898736357688904,0.3964803218841553,0.22227445244789124,0.04865424335002899,0.08446429669857025,0.018633540719747543,0.023338818922638893,11,3,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0
21,16,135,857,5,1,1,1,NA,1,0,1,3,NA,208,319,40,17,0.7756756544113159,0.7969235777854919,0.454054057598114,0.5196241736412048,0.2540540397167206,0.09992772340774536,0.029729729518294334,0.04246928170323372,8,3,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0
21,16,136,1585,4.199999809265137,1,1,1,NA,1,0,0.8115183115005493,5,NA,506,721,111,44,0.8264563083648682,0.8546140789985657,0.4417475759983063,0.5997707843780518,0.25849515199661255,0.1315702646970749,0.0776699036359787,0.05215398222208023,16,6,4,6,0,0,0,1,0,0,0,0,0,0,0,0,0
21,16,138,900,4.25,1,1,1,NA,1,0,1,4,NA,305,422,14,19,0.8279352188110352,0.9176644086837769,0.5769230723381042,0.6632408499717712,0.15182186663150787,0.030443843454122543,0.036437246948480606,0.041316643357276917,9,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0
21,25,241,2715,4.5,0.1742173135280609,0,NA,1,1,0,0.3333333432674408,12,NA,411,573,66,50,0.44128328561782837,0.3858889043331146,0.3002421259880066,0.27678942680358887,0.09927360713481903,0.04444793611764908,0.024818401783704758,0.03367267921566963,14,4,4,6,0,0,0,0,0,0,0,0,0,0,1,0,0
21,29,264,1611,4,0.38050898909568787,1,1,NA,1,0,0.40425533056259155,4,NA,360,577,133,70,0.6283566355705261,0.6519330739974976,0.3372717499732971,0.4067520201206207,0.22878624498844147,0.15027226507663727,0.044038668274879456,0.0790906697511673,16,6,4,6,0,0,1,0,0,0,0,0,0,0,0,0,0
21,44,363,1973,4.909090995788574,1,0,NA,1,1,0,0.9126637578010559,11,NA,361,479,40,35,0.6207864880561829,0.4664258658885956,0.4232209622859955,0.3515234589576721,0.10486891120672226,0.03894997015595436,0.01498127356171608,0.03408122435212135,14,6,2,6,0,0,0,0,0,0,0,0,0,1,0,0,0
21,46,372,19804,3,0.021207837387919426,0,NA,1,1,0,0,2,NA,477,839,253,30,0.0664532333612442,0.07607113569974899,0.029419399797916412,0.04324902221560478,0.027775373309850693,0.022939208894968033,0.006489573512226343,0.00272006425075233,16,6,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0
21,46,393,1064,3.5,0.41165414452552795,1,1,NA,1,0,0.29807692766189575,2,NA,398,486,40,13,0.7349593639373779,0.8425666689872742,0.5040650367736816,0.6900031566619873,0.14146341383457184,0.06934704631567001,0.056910570710897446,0.02253779023885727,8,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
21,51,431,499,5,1,1,2,NA,0,1,1,2,1,160,462,5,21,0.6844106316566467,1.7254263162612915,0.6045627593994141,0.5975502133369446,0.022813688963651657,0.018673444166779518,0.03802281245589256,0.0784284695982933,7,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
21,51,434,641,5,1,1,1,NA,1,0,1,2,NA,81,125,1,42,0.5784615278244019,0.41798800230026245,0.2769230902194977,0.27085623145103455,0.03076923079788685,0.003343903925269842,0.11999999731779099,0.14044396579265594,7,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
21,54,488,1767,4.25,1,1,1,NA,1,0,0.40265485644340515,4,NA,539,749,111,28,0.8257731795310974,0.8097890019416809,0.5195876359939575,0.582745373249054,0.19690722227096558,0.12000878900289536,0.052577320486307144,0.030272485688328743,12,4,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0
21,58,503,1891,4.5,1,1,1,NA,1,0,0.9052132964134216,4,NA,252,577,39,30,0.6217070817947388,0.6641252636909485,0.2802950441837311,0.29005125164985657,0.08535300195217133,0.04488888382911682,0.1991570144891739,0.034529909491539,15,5,4,6,0,0,1,0,0,0,0,0,0,0,0,0,0
21,59,506,4490,4.833333492279053,1,0,NA,1,1,0,0.9023255705833435,3,NA,512,696,27,94,0.3674185574054718,0.33943459391593933,0.21804511547088623,0.24969901144504547,0.09724310785531998,0.013167721219360828,0.03709273040294647,0.045843180269002914,13,4,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0
21,62,521,1581,5,1,1,1,NA,1,0,1,5,NA,456,532,13,5,0.6889804601669312,0.6522588729858398,0.4891864061355591,0.5590790510177612,0.15242017805576324,0.01593865640461445,0.012358393520116806,0.0061302524991333485,20,9,3,8,0,0,0,1,0,0,0,0,0,0,0,0,0
21,62,523,706,5,1,1,1,NA,1,0,1,3,NA,224,317,21,29,0.8920308351516724,0.9162806868553162,0.6401028037071228,0.6474664807319641,0.18766066431999207,0.060699980705976486,0.010282776318490505,0.0838237851858139,11,3,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0
21,65,538,1960,5,1,1,1,NA,1,0,0.9657794833183289,14,NA,314,693,36,156,0.6582768559455872,0.723979651927948,0.35624393820762634,0.32803696393966675,0.07744433730840683,0.03760933503508568,0.17812196910381317,0.1629737764596939,12,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1
21,65,542,1732,5,1,0,NA,1,1,0,0.8977272510528564,14,NA,238,529,27,181,0.5166320204734802,0.5931175947189331,0.3004158139228821,0.2668468654155731,0.09459459781646729,0.03027254343032837,0.09667360037565231,0.20293815433979034,12,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1
21,69,567,860,5,1,1,1,NA,1,0,0.9871794581413269,2,NA,96,177,36,1,0.5278970003128052,0.424486368894577,0.3991416394710541,0.23022989928722382,0.06008583679795265,0.08633621037006378,0.02360515110194683,0.0023982280399650335,8,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
21,69,568,1924,5,1,1,1,NA,1,0,0.9969969987869263,6,NA,245,391,22,14,0.6608455777168274,0.43456587195396423,0.33180147409439087,0.27229830622673035,0.23161764442920685,0.024451276287436485,0.018382353708148003,0.015559903346002102,14,6,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0
