treat,pctVV,elected,male,occBlue.collar,occEducation,occGovernment,occMedia,occNone,occOther,occPolitician,occWhite.collar,lat,long,ran.prior,incumbent,log.valid.votes,party.prior.pctVV,prior.pctVV,elec.year,match.partyPCB,match.partyPC.do.B,match.partyPDT,match.partyPFL,match.partyPL,match.partyPMDB,match.partyPMN,match.partyPP,match.partyPPS,match.partyPSB,match.partyPSC,match.partyPSDB,match.partyPSDC,match.partyPSL,match.partyPT,match.partyPTB,match.partyPV,uf.rs,uf.sp,yob,eduMore.than.Primary..Less.than.Superior,eduSome.Superior.or.More,log.total.assets,pt_pres_1998,psdb_2000,hdi_2000,income_2000,log.num.apps
0,0.48543689320388345,0,1,0,0,0,0,0,0,0,0,-2.9922222222222223,-65.11027777777777,1,0,8.323608442343572,0,0.8023106546854942,2004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1963,1,0,0,0.018287373004354138,0.28397839783978396,0.5989999771118164,72.819000244140625,0
0,1.07,0,1,0,0,0,0,0,0,1,0,-3.1302777777777777,-58.15611111111111,1,1,10.07895232186687,13.457142857142857,4.257142857142857,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1957,0,0,8.764209507142004,0.2632696390658174,0,0.6629999876022339,64.69499969482422,0
0,4.257142857142857,1,1,0,0,0,0,0,1,0,0,-3.1302777777777777,-58.15611111111111,1,0,8.85366542803745,0,3.4469908701322898,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1957,0,0,0,0.2632696390658174,0,0.6629999876022339,64.69499969482422,0
0,2.39,0,1,0,0,1,0,0,0,0,0,0.88,-59.69888888888889,0,0,9.440181444738114,23.452768729641697,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1979,1,0,8.987321812850125,0.09301643192488263,0,0.6610000133514404,138.18800354003906,0.6931471805599453
1,0.9958239640218438,0,1,0,0,0,0,0,1,0,0,2.1694444444444443,-61.0575,0,0,8.043342170441608,0,0,2004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1952,1,0,0,0.044349680170575695,0.25738056897477185,0.7129999995231628,159.13499450683594,0
1,7.6365926625728235,1,1,0,1,0,0,0,0,0,0,2.4433333333333334,-60.91972222222222,0,0,8.756367559802975,0,0,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1978,1,0,0,0.07646559048428207,0,0.7260000109672546,170.88600158691406,0
0,1.9529609407811843,0,1,0,0,0,0,0,0,0,1,-6.806666666666667,-50.48388888888889,1,1,8.468423027046809,8.93556425774297,5.428978284086863,2004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,0,0,0,0.06487025948103792,0,0.6650000214576721,135.96099853515625,0
0,1.89,0,1,0,0,0,0,0,0,0,0,-6.806666666666667,-50.48388888888889,1,0,9.922407437388639,17.49265014699706,1.9529609407811843,2008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,0,0,13.3374763699232,0.06487025948103792,0,0.6650000214576721,135.96099853515625,0
1,0.25,0,1,0,0,0,0,0,0,0,1,-0.7,-47.69833333333333,0,0,13.185274324761975,5.949274126919597,0,2008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1961,0,1,0,0.2736584690628893,0.6538615046896827,0.7820000052452087,187.79400634765625,1.0986122886681098
0,0.32,0,1,0,0,0,0,0,0,0,1,-1.3622222222222222,-48.40361111111111,0,0,13.185274324761975,16.59082265615779,0,2008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1957,1,0,10.571342565808699,0.2736584690628893,0.6538615046896827,0.7820000052452087,187.79400634765625,2.772588722239781
0,0.3,0,1,0,0,0,0,0,0,0,1,-0.9383333333333334,-48.56944444444445,1,1,13.185274324761975,9.972066672786644,3.0844364477573576,2008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1953,0,1,10.799595985047786,0.2736584690628893,0.6538615046896827,0.7820000052452087,187.79400634765625,1.791759469228055
0,2.06,1,1,0,0,0,0,0,0,0,0,-1.031388888888889,-46.641666666666666,1,0,10.651193938585422,6.906514036522213,1.542654674298174,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1960,0,0,9.692828247710418,0.03513938963083329,0.34835372525614244,0.6179999709129333,69.31099700927734,0.6931471805599453
