Game,Subject_ethnicity,Recipient_Pairing,Recipient,Recipient_ethnicity,Amount,Fairness,Subject_Gender,Subject_Age,Subject_Education
157,Bosnjak,Bosnjak Croat,2,Bosnjak,5,0,0,37,1
158,Bosnjak,Bosnjak Croat,1,Croat,5,0,0,25,3
158,Bosnjak,Bosnjak Croat,2,Bosnjak,5,0,0,25,3
159,Bosnjak,Bosnjak Serb,1,Bosnjak,5,1,0,19,3
159,Bosnjak,Bosnjak Serb,2,Serb,5,1,0,19,3
16,Bosnjak,Croat Serb,1,Serb,7,0,1,48,3
16,Bosnjak,Croat Serb,2,Croat,3,0,1,48,3
160,Bosnjak,Croat Serb,1,Serb,5,1,0,24,3
160,Bosnjak,Croat Serb,2,Croat,5,1,0,24,3
161,Bosnjak,Bosnjak Serb,1,Bosnjak,5,1,0,24,3
161,Bosnjak,Bosnjak Serb,2,Serb,5,1,0,24,3
162,Bosnjak,Croat Serb,1,Serb,5,1,0,26,3
162,Bosnjak,Croat Serb,2,Croat,5,1,0,26,3
163,Bosnjak,Bosnjak Serb,1,Bosnjak,6,1,1,22,3
163,Bosnjak,Bosnjak Serb,2,Serb,4,1,1,22,3
164,Bosnjak,Bosnjak Serb,1,Bosnjak,6,1,1,21,3
164,Bosnjak,Bosnjak Serb,2,Serb,4,1,1,21,3
165,Bosnjak,Croat Serb,1,Croat,5,1,1,25,3
165,Bosnjak,Croat Serb,2,Serb,5,1,1,25,3
166,Bosnjak,Bosnjak Serb,1,Serb,5,1,1,35,3
166,Bosnjak,Bosnjak Serb,2,Bosnjak,5,1,1,35,3
167,Bosnjak,Bosnjak Serb,1,Bosnjak,5,1,1,42,4
167,Bosnjak,Bosnjak Serb,2,Serb,5,1,1,42,4
168,Bosnjak,Croat Serb,1,Croat,5,1,1,41,3
168,Bosnjak,Croat Serb,2,Serb,5,1,1,41,3
169,Bosnjak,Croat Serb,1,Serb,5,1,1,45,1
169,Bosnjak,Croat Serb,2,Croat,5,1,1,45,1
17,Croat,Croat Serb,1,Croat,5,1,0,25,3
17,Croat,Croat Serb,2,Serb,5,1,0,25,3
170,Bosnjak,Bosnjak Serb,1,Bosnjak,5,1,1,47,3
170,Bosnjak,Bosnjak Serb,2,Serb,5,1,1,47,3
171,Bosnjak,Bosnjak Croat,1,Croat,5,1,1,37,3
171,Bosnjak,Bosnjak Croat,2,Bosnjak,5,1,1,37,3
172,Bosnjak,Bosnjak Croat,1,Croat,3,1,1,48,1
172,Bosnjak,Bosnjak Croat,2,Bosnjak,7,1,1,48,1
173,Bosnjak,Bosnjak Croat,1,Bosnjak,5,1,1,40,3
173,Bosnjak,Bosnjak Croat,2,Croat,5,1,1,40,3
174,Bosnjak,Bosnjak Croat,1,Croat,5,0,0,40,1
174,Bosnjak,Bosnjak Croat,2,Bosnjak,5,0,0,40,1
175,Bosnjak,Croat Serb,1,Serb,5,1,1,54,3
175,Bosnjak,Croat Serb,2,Croat,5,1,1,54,3
176,Bosnjak,Bosnjak Serb,1,Bosnjak,5,1,1,25,2
176,Bosnjak,Bosnjak Serb,2,Serb,5,1,1,25,2
177,Bosnjak,Bosnjak Croat,1,Bosnjak,5,1,0,42,3
177,Bosnjak,Bosnjak Croat,2,Croat,5,1,0,42,3
178,Bosnjak,Bosnjak Croat,1,Croat,4,1,1,24,2
178,Bosnjak,Bosnjak Croat,2,Bosnjak,6,1,1,24,2
179,Bosnjak,Bosnjak Croat,1,Bosnjak,5,1,1,41,3
179,Bosnjak,Bosnjak Croat,2,Croat,5,1,1,41,3
18,Croat,Bosnjak Croat,1,Croat,5,1,1,50,4
18,Croat,Bosnjak Croat,2,Bosnjak,5,1,1,50,4
180,Bosnjak,Bosnjak Croat,1,Croat,5,1,1,20,3
180,Bosnjak,Bosnjak Croat,2,Bosnjak,5,1,1,20,3
181,Bosnjak,Croat Serb,1,Serb,5,1,0,23,3
181,Bosnjak,Croat Serb,2,Croat,5,1,0,23,3
182,Bosnjak,Croat Serb,1,Croat,8,1,1,45,3
182,Bosnjak,Croat Serb,2,Serb,2,1,1,45,3
183,Bosnjak,Croat Serb,1,Croat,5,0,0,42,3
183,Bosnjak,Croat Serb,2,Serb,5,0,0,42,3
184,Bosnjak,Bosnjak Serb,1,Bosnjak,5,0,1,19,3
184,Bosnjak,Bosnjak Serb,2,Serb,5,0,1,19,3
185,Bosnjak,Bosnjak Serb,1,Bosnjak,5,0,0,24,3
185,Bosnjak,Bosnjak Serb,2,Serb,5,0,0,24,3
186,Bosnjak,Bosnjak Serb,1,Bosnjak,5,1,0,19,3
186,Bosnjak,Bosnjak Serb,2,Serb,5,1,0,19,3
187,Bosnjak,Croat Serb,1,Serb,5,1,0,19,3
187,Bosnjak,Croat Serb,2,Croat,5,1,0,19,3
