time,treatment,District,Region,city,lnarea,lnpopden,index_infra,index_agric,index_health,index_education,index_comms,index_bus_dev,totalland
1,0,101,1,1,1.7578579187393188,6.169826984405518,3,5,0.0025321035645902157,2.0104901427403092,2,3.045077532529831,364
0,0,101,1,1,1.7578579187393188,6.081667423248291,4,3,1,2.007633587811142,2,3.0374163053929806,367
0,0,101,1,1,1.6486586332321167,6.029204845428467,4,6.068055554060265,0.0028239015955477953,3.0045182425528765,3,4.108796296641231,458
0,0,101,1,1,2.1041340827941895,6.127774238586426,3,6,1.0003586028760765,1.0057376460172236,2,2.0558659210801125,628.4000244140625
0,0,101,1,1,1.9878743886947632,5.959804058074951,4,5.1113467663526535,0.0021069692447781563,3.003403565613553,3,3.084128667600453,375
0,0,101,1,1,2.1972246170043945,5.619192600250244,4,9.112857721745968,0.0039281705394387245,2.0034605311229825,2,2.084240224212408,620.39996337890625
1,0,101,1,1,2.1511807441711426,5.6692585945129395,3,9,0.0014618546701967716,1.0015532206743956,2,2.0016057807952166,616.70001220703125
0,0,101,1,1,1.7698546648025513,5.750921726226807,4,9.047128926962614,0.0048816208727657795,3.009030998684466,2,1.349945843219757,396.9000244140625
1,0,101,1,1,1.722766637802124,6.051248550415039,4,8,0,1.0018965335329995,3,2.0067283431999385,355.4000244140625
0,0,101,1,1,1.5851452350616455,6.420555591583252,3,5,0,3.00079898792319,3,3,324.1000061035156
1,0,101,1,1,1.5851452350616455,6.480434417724609,2,6,0,2,3,5.048067860305309,322.3999938964844
0,0,101,1,1,1.724550724029541,5.954700469970703,3,2,0,2.007249467074871,3,5,356.3999938964844
0,0,101,1,1,1.2809338569641113,6.034284591674805,3,5.8476380705833435,0.10064981877803802,4.004620938561857,2,1.310711920261383,251.3000030517578
1,0,101,1,1,1.0116009712219238,6.755239486694336,5,3,0.005538632161915302,3.0018462106818333,3,4.105887338519096,161.5
0,0,101,1,1,1.7749524116516113,6.049093723297119,5,7.079199999570847,0.18613366782665253,2.003747657639906,3,3.1395999994128942,411.6000061035156
0,0,101,1,1,1.695615530014038,6.316402435302734,2,8.0125952931121,1,1.0056988173164427,2,2.107722906395793,383
0,0,101,1,1,1.6695917844772339,6.341431617736816,5,8,0.0071361251175403595,2.0053857546299696,3,3.0066356998868287,448.6000061035156
1,0,101,1,1,1.788420557975769,5.7983832359313965,3,8.38032454252243,0.03357314318418503,1.0035971223842353,2,3.0010141987586394,273.79998779296875
0,0,101,1,1,1.816777229309082,6.568027019500732,5,15.024200912797824,0.014847343787550926,3.003345880424604,3,3.1095890440046787,350.1000061035156
0,0,101,1,1,0.9932518005371094,6.907755374908447,4,5.029629629570991,0.0015037594130262733,2.0037593985907733,3,3.153703704942018,176.70001220703125
1,0,101,1,1,1.07158362865448,6.510645389556885,4,6.020376974716783,0.00291647226549685,2.0018665422685444,1,1.0101884873583913,240.3000030517578
0,0,101,1,1,1.0647107362747192,6.404943466186523,4,11.092360317707062,0,1,1,3,240.39999389648437
0,0,101,1,1,1.4109869003295898,6.1712422370910645,4,11.024961793795228,0,1,1,3,273.3999938964844
1,0,101,1,1,1.4109869003295898,6.495192050933838,4,5,0,2.003522898769006,1,2.0036845984868705,252.5
0,1,103,1,1,1.9968748092651367,5.728455066680908,3,4.015452538616955,0,1.0013204225106165,2,1.0573951452970505,572.5999755859375
